dataset,acceptance_rate,rep,parameter,method,estimate,batch_se,selected_controls,condition_number
simulated,0.313,7,omega_2,ZV-OLS-5,0.1595175520310077,7.772639558313283e-07,55,1249883.411672729
simulated,0.313,7,omega_2,ZV-Lasso-5,0.1594149373741506,6.0800033248384095e-05,16,7434.059211247412
simulated,0.313,7,omega_3,MC,0.732188311230283,0.0098789728228653,0,
simulated,0.313,7,omega_3,ZV-OLS-1,0.734265513622549,0.0011194027182783,3,8.596193824282041
simulated,0.313,7,omega_3,ZV-OLS-2,0.7340939138645565,0.0004111375724123,9,117.862416702665
simulated,0.313,7,omega_3,ZV-OLS-5,0.7349699373994077,4.929247274058136e-06,55,1249883.411672729
simulated,0.313,7,omega_3,ZV-Lasso-5,0.7346563571736746,0.0001159733110729,20,17594.416324780883
simulated,0.327,8,omega_1,MC,0.1116687667282925,0.0051177183679669,0,
simulated,0.327,8,omega_1,ZV-OLS-1,0.1084435037938942,0.0012500108935081,3,9.756632460057498
simulated,0.327,8,omega_1,ZV-OLS-2,0.1091564943395775,0.0001857486153613,9,153.0660134807241
simulated,0.327,8,omega_1,ZV-OLS-5,0.1079659713047515,2.345085434426074e-06,55,723530.0712465135
simulated,0.327,8,omega_1,ZV-Lasso-5,0.1084243502269797,1.777776586026519e-05,26,49250.00456118112
simulated,0.327,8,omega_2,MC,0.1593897738450926,0.0043347950228896,0,
simulated,0.327,8,omega_2,ZV-OLS-1,0.1587087225166806,0.0009569982856657,3,9.756632460057498
simulated,0.327,8,omega_2,ZV-OLS-2,0.1587263119735112,0.000159999263835,9,153.0660134807241
simulated,0.327,8,omega_2,ZV-OLS-5,0.1594897078624973,5.437336459073699e-07,55,723530.0712465135
simulated,0.327,8,omega_2,ZV-Lasso-5,0.15934745003911,5.146494752789788e-05,19,8034.486672805809
simulated,0.327,8,omega_3,MC,0.730009592027453,0.005981384291033,0,
simulated,0.327,8,omega_3,ZV-OLS-1,0.7347039025233287,0.0010183845430381,3,9.756632460057498
simulated,0.327,8,omega_3,ZV-OLS-2,0.7341058543008957,0.0001509739289487,9,153.0660134807241
simulated,0.327,8,omega_3,ZV-OLS-5,0.7350019781148629,2.3310764969010392e-06,55,723530.0712465135
simulated,0.327,8,omega_3,ZV-Lasso-5,0.734394178596148,0.0001851360171557,17,8848.930783092945
simulated,0.32325,9,omega_1,MC,0.1110255302357159,0.0073092984429828,0,
simulated,0.32325,9,omega_1,ZV-OLS-1,0.109337532449998,0.0011208470255837,3,7.785867041029528
simulated,0.32325,9,omega_1,ZV-OLS-2,0.1085415050193487,0.0002522608986715,9,123.29207636279727
simulated,0.32325,9,omega_1,ZV-OLS-5,0.1080019115970061,2.695047059055688e-06,55,758140.9233131516
simulated,0.32325,9,omega_1,ZV-Lasso-5,0.1075472957926312,5.2578530885261794e-05,22,162729.12658960224
simulated,0.32325,9,omega_2,MC,0.1558257599686377,0.002733257289918,0,
simulated,0.32325,9,omega_2,ZV-OLS-1,0.1576535924894213,0.0009138205640971,3,7.785867041029528
simulated,0.32325,9,omega_2,ZV-OLS-2,0.1590532683797746,0.0001265343299707,9,123.29207636279727
simulated,0.32325,9,omega_2,ZV-OLS-5,0.1594978821531292,6.551894721846959e-07,55,758140.9233131516
simulated,0.32325,9,omega_2,ZV-Lasso-5,0.1594695737173341,5.137297158071623e-05,16,6396.977088149367
simulated,0.32325,9,omega_3,MC,0.7330378883902902,0.0089008888202996,0,
simulated,0.32325,9,omega_3,ZV-OLS-1,0.7344434217022778,0.0009570151849606,3,7.785867041029528
simulated,0.32325,9,omega_3,ZV-OLS-2,0.7346020843601397,0.0002478442076802,9,123.29207636279727
simulated,0.32325,9,omega_3,ZV-OLS-5,0.7349632329322936,2.94012069408525e-06,55,758140.9233131516
simulated,0.32325,9,omega_3,ZV-Lasso-5,0.7354115011893623,6.57253451303487e-05,17,9879.685829742208
simulated,0.315,10,omega_1,MC,0.1140905504152065,0.0058249275321894,0,
simulated,0.315,10,omega_1,ZV-OLS-1,0.1075966672083194,0.0012160100159498,3,9.664358654031542
simulated,0.315,10,omega_1,ZV-OLS-2,0.107775960699169,0.0005224241997132,9,137.72148318043588
simulated,0.315,10,omega_1,ZV-OLS-5,0.1080694721437575,2.864289131390117e-06,55,961025.0376575788
simulated,0.315,10,omega_1,ZV-Lasso-5,0.1075496031485606,3.769739233605904e-05,23,11557.379685877158
simulated,0.315,10,omega_2,MC,0.1647696274669942,0.0039914789712255,0,
simulated,0.315,10,omega_2,ZV-OLS-1,0.1587526806419089,0.001222676529593,3,9.664358654031542
simulated,0.315,10,omega_2,ZV-OLS-2,0.1596075467871039,0.0003561533233522,9,137.72148318043588
simulated,0.315,10,omega_2,ZV-OLS-5,0.1595068659196747,1.791466941562629e-06,55,961025.0376575788
simulated,0.315,10,omega_2,ZV-Lasso-5,0.1595838374083308,6.997182789526746e-05,15,4690.126932128886
simulated,0.315,10,omega_3,MC,0.7236968294387838,0.0056566666003154,0,
simulated,0.315,10,omega_3,ZV-OLS-1,0.7354417080593054,0.0009112587370124,3,9.664358654031542
simulated,0.315,10,omega_3,ZV-OLS-2,0.7352137092723342,0.0004374946746026,9,137.72148318043588
